SIS,APMISRR,toler-MIS
10900.29,13142.84,9071.58
13025.01,15713.62,10853.99
15149.73,18284.39,12636.39
17274.44,20855.17,14418.80
19399.16,23425.94,16201.20
21523.88,25996.72,17983.61
23648.59,28567.50,19766.01
25773.31,31138.27,21548.42
27898.03,33709.05,23330.82
30022.74,36279.83,25113.22
32147.46,38850.60,26895.63
34272.18,41421.38,28678.03
36396.89,43992.15,30460.44
38521.61,46562.93,32242.84
40646.33,49133.71,34025.25
42771.04,51704.48,35807.65
44895.76,54275.26,37590.06
47020.48,56846.04,39372.46
49145.19,59416.81,41154.86
51269.91,61987.59,42937.27
53394.63,64558.36,44719.67
