SIS,APMISRR,toler-MIS
14799.51,13362.40,13327.48
17743.34,16002.86,15968.62
20687.17,18643.33,18609.75
23631.00,21283.80,21250.89
26574.83,23924.26,23892.03
29518.66,26564.73,26533.17
32462.49,29205.19,29174.31
35406.32,31845.66,31815.45
38350.15,34486.13,34456.59
41293.98,37126.59,37097.72
44237.81,39767.06,39738.86
47181.64,42407.52,42380.00
50125.47,45047.99,45021.14
53069.30,47688.46,47662.28
56013.13,50328.92,50303.42
58956.96,52969.39,52944.56
61900.79,55609.85,55585.69
64844.62,58250.32,58226.83
67788.45,60890.79,60867.97
70732.28,63531.25,63509.11
73676.11,66171.72,66150.25
