SIS,APMISRR,toler-MIS
13707.81,12289.41,12045.60
13707.81,12071.27,11903.18
13707.81,11955.73,11818.88
13707.81,11884.39,11763.63
13707.81,11836.28,11724.99
13707.81,11801.93,11696.73
13707.81,11776.42,11675.39
13707.81,11756.93,11658.90
13707.81,11741.71,11645.92
13707.81,11729.66,11635.59
13707.81,11720.00,11627.29
13707.81,11712.20,11620.58
13707.81,11705.88,11615.16
13707.81,11700.74,11610.77
13707.81,11696.58,11607.23
13707.81,11693.22,11604.41
13707.81,11690.54,11602.19
13707.81,11688.43,11600.48
13707.81,11686.81,11599.20
13707.81,11685.60,11598.30
13707.81,11684.76,11597.73
13707.81,11684.23,11597.45
13707.81,11683.98,11597.42
13707.81,11683.98,11597.61
13707.81,11684.19,11598.01
13707.81,11684.60,11598.57
13707.81,11685.18,11599.30
13707.81,11685.92,11600.18
13707.81,11686.79,11601.18
13707.81,11687.80,11602.29
13707.81,11688.92,11603.52
13707.81,11690.14,11604.84
13707.81,11691.46,11606.25
13707.81,11692.87,11607.74
13707.81,11694.35,11609.31
13707.81,11695.92,11610.95
13707.81,11697.55,11612.65
13707.81,11699.24,11614.40
