model,workload,value
SIS,5000,10115.5
APMISRR,5000,8429.14
TolerMIS,5000,8189.84
SIS,5000,10083.3
APMISRR,5000,7990.9
TolerMIS,5000,7768.85
SIS,5000,10245.1
APMISRR,5000,7956.07
TolerMIS,5000,7711.09
SIS,5000,10057.4
APMISRR,5000,8194.06
TolerMIS,5000,7961.9
SIS,5000,9977.04
APMISRR,5000,8098.12
TolerMIS,5000,7870.25
SIS,5000,9895.71
APMISRR,5000,7941.54
TolerMIS,5000,7719.78
SIS,5000,9874.35
APMISRR,5000,8306.93
TolerMIS,5000,8068.33
SIS,5000,9978.73
APMISRR,5000,7692.31
TolerMIS,5000,7474.25
SIS,5000,10091.5
APMISRR,5000,8770.15
TolerMIS,5000,8445.54
SIS,5000,9997.87
APMISRR,5000,7631.39
TolerMIS,5000,7416.59
SIS,5000,9911.62
APMISRR,5000,8592.07
TolerMIS,5000,8337.49
SIS,5000,10171
APMISRR,5000,7936.55
TolerMIS,5000,7693.31
SIS,5000,9965.97
APMISRR,5000,8227.9
TolerMIS,5000,7993.19
SIS,5000,9988.98
APMISRR,5000,7829.25
TolerMIS,5000,7614.93
SIS,5000,10181.7
APMISRR,5000,8393.27
TolerMIS,5000,8153.63
SIS,5000,10096.9
APMISRR,5000,8419.97
TolerMIS,5000,8178.84
SIS,5000,9952.51
APMISRR,5000,7957.98
TolerMIS,5000,7735.79
SIS,5000,9908.51
APMISRR,5000,8010.68
TolerMIS,5000,7785.89
SIS,5000,9960.63
APMISRR,5000,7759.61
TolerMIS,5000,7547.69
SIS,5000,10146.7
APMISRR,5000,8511.32
TolerMIS,5000,8210.47
SIS,5000,10091.9
APMISRR,5000,8142.77
TolerMIS,5000,7913.58
SIS,5000,9967.56
APMISRR,5000,8693.24
TolerMIS,5000,8438.55
SIS,5000,10042.7
APMISRR,5000,7846.47
TolerMIS,5000,7627.42
SIS,5000,10041.4
APMISRR,5000,8113.33
TolerMIS,5000,7888.18
SIS,5000,10201.8
APMISRR,5000,8170.17
