SIS,APMISRR,TolerMIS
10115.5,8429.14,8189.84
10083.3,7990.9,7768.85
10245.1,7956.07,7711.09
10057.4,8194.06,7961.9
9977.04,8098.12,7870.25
9895.71,7941.54,7719.78
9874.35,8306.93,8068.33
9978.73,7692.31,7474.25
10091.5,8770.15,8445.54
9997.87,7631.39,7416.59
9911.62,8592.07,8337.49
10171,7936.55,7693.31
9965.97,8227.9,7993.19
9988.98,7829.25,7614.93
10181.7,8393.27,8153.63
10096.9,8419.97,8178.84
9952.51,7957.98,7735.79
9908.51,8010.68,7785.89
9960.63,7759.61,7547.69
10146.7,8511.32,8210.47
10091.9,8142.77,7913.58
9967.56,8693.24,8438.55
10042.7,7846.47,7627.42
10041.4,8113.33,7888.18
10201.8,8170.17,7898.26
10086.3,8279,8045.25
9963.46,8628.94,8373.83
9914,8656.25,8400.33
10012.4,8175.99,7875.5
10197.6,7879.04,7672.76
