APMISRR,tolerMIS,MISRRLL
12289.41,12045.60,11861.13
12071.27,11903.18,11696.21
11955.73,11818.88,11634.64
11884.39,11763.63,11602.10
11836.28,11724.99,11582.27
11801.93,11696.73,11569.25
11776.42,11675.39,11560.34
11756.93,11658.90,11554.11
11741.71,11645.92,11549.73
11729.66,11635.59,11546.68
11720.00,11627.29,11544.63
11712.20,11620.58,11543.35
11705.88,11615.16,11542.66
11700.74,11610.77,11542.44
11696.58,11607.23,11542.62
11693.22,11604.41,11543.11
11690.54,11602.19,11543.87
11688.43,11600.48,11544.85
11686.81,11599.20,11546.01
11685.60,11598.30,11547.35
11684.76,11597.73,11548.82
11684.23,11597.45,11550.41
11683.98,11597.42,11552.11
11683.98,11597.61,11553.91
11684.19,11598.01,11555.79
11684.60,11598.57,11557.74
11685.18,11599.30,11559.75
11685.92,11600.18,11561.83
11686.79,11601.18,11563.96
11687.80,11602.29,11566.14
11688.92,11603.52,11568.36
11690.14,11604.84,11570.62
11691.46,11606.25,11572.92
11692.87,11607.74,11575.25
11694.35,11609.31,11577.61
11695.92,11610.95,11579.99
11697.55,11612.65,11582.41
11699.24,11614.40,11584.84
