model,error_num,value
APMISRR,1,0.921097
TolerMIS,1,0.952377
MISRRLL,1,0.96974
APMISRR,1,0.9336
TolerMIS,1,0.964345
MISRRLL,1,0.983553
APMISRR,1,0.935934
TolerMIS,1,0.966479
MISRRLL,1,0.986874
APMISRR,1,0.927651
TolerMIS,1,0.958566
MISRRLL,1,0.976786
APMISRR,1,0.929924
TolerMIS,1,0.960705
MISRRLL,1,0.979324
APMISRR,1,0.9336
TolerMIS,1,0.964345
MISRRLL,1,0.983553
APMISRR,1,0.921097
TolerMIS,1,0.952377
MISRRLL,1,0.96974
APMISRR,1,0.942066
TolerMIS,1,0.972401
MISRRLL,1,0.99074
APMISRR,1,0.910628
TolerMIS,1,0.941996
MISRRLL,1,0.954525
APMISRR,1,0.944048
TolerMIS,1,0.974319
MISRRLL,1,0.990652
APMISRR,1,0.91298
TolerMIS,1,0.944465
MISRRLL,1,0.961054
APMISRR,1,0.935934
TolerMIS,1,0.966479
MISRRLL,1,0.986874
APMISRR,1,0.924677
TolerMIS,1,0.956011
MISRRLL,1,0.973893
APMISRR,1,0.937642
TolerMIS,1,0.96823
MISRRLL,1,0.990548
APMISRR,1,0.925488
TolerMIS,1,0.955719
MISRRLL,1,0.972018
APMISRR,1,0.921485
TolerMIS,1,0.952592
MISRRLL,1,0.96991
APMISRR,1,0.9349
TolerMIS,1,0.965028
MISRRLL,1,0.983729
APMISRR,1,0.931856
TolerMIS,1,0.962426
MISRRLL,1,0.981292
APMISRR,1,0.940392
TolerMIS,1,0.970598
MISRRLL,1,0.990773
APMISRR,1,0.919133
TolerMIS,1,0.950462
MISRRLL,1,0.967553
APMISRR,1,0.929887
TolerMIS,1,0.960504
MISRRLL,1,0.97869
APMISRR,1,0.913095
TolerMIS,1,0.943949
MISRRLL,1,0.958548
APMISRR,1,0.937599
TolerMIS,1,0.968248
MISRRLL,1,0.990637
APMISRR,1,0.931285
TolerMIS,1,0.961389
MISRRLL,1,0.979174
APMISRR,1,0.929703
TolerMIS,1,0.960521
MISRRLL,1,0.979082
APMISRR,1,0.927414
TolerMIS,1,0.957602
MISRRLL,1,0.974323
APMISRR,1,0.916497
TolerMIS,1,0.946371
MISRRLL,1,0.960604
APMISRR,1,0.912736
TolerMIS,1,0.943745
MISRRLL,1,0.958684
APMISRR,1,0.927926
TolerMIS,1,0.958589
MISRRLL,1,0.976223
APMISRR,1,0.937339
TolerMIS,1,0.968124
MISRRLL,1,0.990905
APMISRR,2,0.894858
TolerMIS,2,0.927087
MISRRLL,2,0.947801
APMISRR,2,0.91998
TolerMIS,2,0.950651
MISRRLL,2,0.974991
APMISRR,2,0.924072
TolerMIS,2,0.954591
MISRRLL,2,0.979388
APMISRR,2,0.90728
TolerMIS,2,0.938714
