model,add_num,value
APMISRR,1,0.913909
TolerMIS,1,0.936606
MISRRLL,1,0.959283
APMISRR,1,0.917538
TolerMIS,1,0.938648
MISRRLL,1,0.961277
APMISRR,1,0.91639
TolerMIS,1,0.936631
MISRRLL,1,0.961317
APMISRR,1,0.914388
TolerMIS,1,0.936536
MISRRLL,1,0.960273
APMISRR,1,0.917029
TolerMIS,1,0.939047
MISRRLL,1,0.96073
APMISRR,1,0.916667
TolerMIS,1,0.93718
MISRRLL,1,0.961066
APMISRR,1,0.910448
TolerMIS,1,0.933578
MISRRLL,1,0.959242
APMISRR,1,0.930209
TolerMIS,1,0.93961
MISRRLL,1,0.962205
APMISRR,1,0.90321
TolerMIS,1,0.926276
MISRRLL,1,0.956807
APMISRR,1,0.930248
TolerMIS,1,0.939301
MISRRLL,1,0.962197
APMISRR,1,0.904052
TolerMIS,1,0.927841
MISRRLL,1,0.957425
APMISRR,1,0.919428
TolerMIS,1,0.940191
MISRRLL,1,0.961632
APMISRR,1,0.915324
TolerMIS,1,0.937899
MISRRLL,1,0.960133
APMISRR,1,0.917387
TolerMIS,1,0.936388
MISRRLL,1,0.961501
APMISRR,1,0.913413
TolerMIS,1,0.936083
MISRRLL,1,0.959705
APMISRR,1,0.913186
TolerMIS,1,0.936318
MISRRLL,1,0.9594
APMISRR,1,0.91336
TolerMIS,1,0.933309
MISRRLL,1,0.960692
APMISRR,1,0.917006
TolerMIS,1,0.938515
MISRRLL,1,0.961003
APMISRR,1,0.924635
TolerMIS,1,0.93823
MISRRLL,1,0.961887
APMISRR,1,0.910049
TolerMIS,1,0.933141
MISRRLL,1,0.958907
APMISRR,1,0.912873
TolerMIS,1,0.933545
MISRRLL,1,0.960193
APMISRR,1,0.904918
TolerMIS,1,0.928988
MISRRLL,1,0.957129
APMISRR,1,0.918833
TolerMIS,1,0.938087
MISRRLL,1,0.961686
APMISRR,1,0.916034
TolerMIS,1,0.937795
MISRRLL,1,0.960652
APMISRR,1,0.915937
TolerMIS,1,0.937514
MISRRLL,1,0.960538
APMISRR,1,0.911748
TolerMIS,1,0.933635
MISRRLL,1,0.959757
APMISRR,1,0.908029
TolerMIS,1,0.932276
MISRRLL,1,0.957902
APMISRR,1,0.904988
TolerMIS,1,0.928945
MISRRLL,1,0.957333
APMISRR,1,0.913119
TolerMIS,1,0.935179
MISRRLL,1,0.960181
APMISRR,1,0.918209
TolerMIS,1,0.937258
MISRRLL,1,0.961558
APMISRR,2,0.901
TolerMIS,2,0.926608
MISRRLL,2,0.956357
APMISRR,2,0.908703
TolerMIS,2,0.932281
MISRRLL,2,0.958369
APMISRR,2,0.905333
TolerMIS,2,0.927577
MISRRLL,2,0.958055
APMISRR,2,0.90644
TolerMIS,2,0.931634
MISRRLL,2,0.95745
APMISRR,2,0.90064
TolerMIS,2,0.924656
MISRRLL,2,0.95709
APMISRR,2,0.908717
TolerMIS,2,0.931923
MISRRLL,2,0.958383
APMISRR,2,0.897009
TolerMIS,2,0.92243
MISRRLL,2,0.955697
APMISRR,2,0.920782
TolerMIS,2,0.928967
MISRRLL,2,0.958754
APMISRR,2,0.895884
TolerMIS,2,0.922244
MISRRLL,2,0.954265
APMISRR,2,0.921777
TolerMIS,2,0.933344
MISRRLL,2,0.959292
APMISRR,2,0.892773
TolerMIS,2,0.919464
MISRRLL,2,0.954391
APMISRR,2,0.904254
TolerMIS,2,0.926355
MISRRLL,2,0.957922
APMISRR,2,0.90194
TolerMIS,2,0.926792
MISRRLL,2,0.956767
APMISRR,2,0.908534
TolerMIS,2,0.930189
MISRRLL,2,0.958574
APMISRR,2,0.901848
TolerMIS,2,0.928359
MISRRLL,2,0.956758
APMISRR,2,0.901648
TolerMIS,2,0.928006
MISRRLL,2,0.956338
APMISRR,2,0.907394
TolerMIS,2,0.930106
MISRRLL,2,0.958072
APMISRR,2,0.902774
TolerMIS,2,0.9254
MISRRLL,2,0.957345
APMISRR,2,0.917071
TolerMIS,2,0.934672
MISRRLL,2,0.959281
APMISRR,2,0.900065
TolerMIS,2,0.925732
MISRRLL,2,0.955945
APMISRR,2,0.902505
TolerMIS,2,0.926044
MISRRLL,2,0.957309
APMISRR,2,0.897184
TolerMIS,2,0.924806
MISRRLL,2,0.954739
APMISRR,2,0.908438
TolerMIS,2,0.930725
MISRRLL,2,0.958651
APMISRR,2,0.902571
TolerMIS,2,0.927284
MISRRLL,2,0.957432
APMISRR,2,0.901697
TolerMIS,2,0.926086
MISRRLL,2,0.957242
APMISRR,2,0.901809
TolerMIS,2,0.926937
MISRRLL,2,0.956893
APMISRR,2,0.896057
TolerMIS,2,0.922802
MISRRLL,2,0.954554
APMISRR,2,0.899282
TolerMIS,2,0.927212
MISRRLL,2,0.954773
APMISRR,2,0.907217
TolerMIS,2,0.932529
MISRRLL,2,0.957609
APMISRR,2,0.908868
TolerMIS,2,0.931046
MISRRLL,2,0.958732
APMISRR,3,0.900343
TolerMIS,3,0.924747
MISRRLL,3,0.953608
